Team_ID,Emp_ID,Emp_Name,EmailID,Test_Score,Presentation,Project,Assignment,Overall_Rating,Assessment_Date,Overall_Feedback
"T34	",680968,Marilin Paye,mpaye2b@comcast.net,80,8,80,80,9,6/24/2024,good
"T35	",195377,Zeke Livingston,zlivingston2c@mysql.com,80,8,80,80,9,12/19/2023,good
"T36	",543342,Jase Romaine,jromaine2d@multiply.com,80,8,80,80,9,6/24/2024,good
"T37	",989263,Mufi Monnelly,mmonnelly2e@washingtonpost.com,80,8,80,80,9,6/24/2024,good
"T38	",994017,Patrizio Pallent,ppallent2f@cbslocal.com,80,8,80,80,9,6/24/2024,good
"T39	",372940,Rebekah Dalgety,rdalgety2g@illinois.edu,80,8,80,80,9,4/24/2024,good
"T40	",189320,Engracia Domel,edomel2h@senate.gov,80,8,80,80,9,2/29/2024,good
"T41	",488952,Eddy Panther,epanther2i@psu.edu,80,8,80,80,9,1/16/2024,good
"T42	",219148,Lily Colquyte,lcolquyte2j@chron.com,80,8,80,80,9,5/30/2024,good
"T43	",689689,Igor Ellum,iellum2k@w3.org,80,8,80,80,9,2/21/2024,good
"T44	",297096,Miguel Sterling,msterling2l@ow.ly,80,8,80,80,9,10/31/2024,good
"T45	",734273,Tracey Cartan,tcartan2m@illinois.edu,80,8,80,80,9,2/21/2024,good
"T46	",258780,Corabelle Casely,ccasely2n@is.gd,80,8,80,80,9,6/24/2024,good
"T47	",462658,Dion Fetherston,dfetherston2o@wired.com,80,8,80,80,9,6/24/2024,good
"T48	",843964,Antonio MacCaffrey,amaccaffrey2p@smugmug.com,80,8,80,80,9,11/24/2023,good
"T49	",187022,Perry Sanbrooke,psanbrooke2q@themeforest.net,80,8,80,80,9,5/28/2024,good
"T50	",356300,Araldo Winchcum,awinchcum2r@amazon.co.uk,80,8,80,80,9,5/27/2024,good
T01,789820,Daniele Grimshaw,dgrimshaw2s@google.com.hk,80,8,80,80,9,9/27/2024,good
T02,738135,Godfry Rawsthorne,grawsthorne2t@dot.gov,80,8,80,80,9,11/30/2023,good
"T03	",407331,Rhonda Morehall,rmorehall2u@liveinternet.ru,80,8,80,80,9,3/23/2024,good
"T04	",432728,Edsel Guerreru,eguerreru2v@washington.edu,80,8,80,80,9,2/13/2024,good
"T05	",742443,Elysia Withur,ewithur2w@washingtonpost.com,80,8,80,80,9,12/30/2023,good
"T06	",797144,Zacherie Keady,zkeady2x@washingtonpost.com,80,8,80,80,9,6/24/2024,good
"T07	",152726,Filmore Ableson,fableson2y@imdb.com,80,8,80,80,9,9/19/2024,good
"T08	",452075,Feliza Laugier,flaugier2z@sogou.com,80,8,80,80,9,6/24/2024,good
"T09	",769510,Ashley Line,aline30@slashdot.org,80,8,80,80,9,8/29/2024,good
"T10	",565065,Madison Isaksson,misaksson31@simplemachines.org,80,8,80,80,9,6/13/2024,good
"T11	",243238,Howie de Savery,hde32@people.com.cn,80,8,80,80,9,5/30/2024,good
"T12	",580532,Dian Wallhead,dwallhead33@freewebs.com,80,8,80,80,9,6/13/2024,good
"T13	",286403,Filippo Gauchier,fgauchier34@clickbank.net,80,8,80,80,9,11/16/2023,good
"T14	",558336,Alva Flay,aflay35@paypal.com,80,8,80,80,9,11/27/2023,good
"T15	",438235,Mariejeanne Van den Velde,mvan36@umich.edu,80,8,80,80,9,9/21/2024,good
"T16	",980418,Malva Bryden,mbryden37@homestead.com,80,8,80,80,9,6/24/2024,good
"T17	",478344,Bobby Bertelmot,bbertelmot38@jigsy.com,80,8,80,80,9,6/24/2024,good
"T18	",176865,Nobe Heiner,nheiner39@state.gov,80,8,80,80,9,2/22/2024,good
"T19	",331210,Emiline Addey,eaddey3a@loc.gov,80,8,80,80,9,6/24/2024,good
"T20	",793723,Othilie Merida,omerida3b@dailymotion.com,80,8,80,80,9,8/27/2024,good
"T21	",982369,Geri Cristea,gcristea3c@wunderground.com,80,8,80,80,9,12/30/2023,good
"T22	",312545,Chadd Verlander,cverlander3d@gov.uk,80,8,80,80,9,6/24/2024,good
"T23	",241394,Stacee Nilges,snilges3e@hugedomains.com,80,8,80,80,9,9/19/2024,good
"T24	",209440,Marlow Murname,mmurname3f@ft.com,80,8,80,80,9,6/24/2024,good
"T25	",355975,Alberik Polet,apolet3g@craigslist.org,80,8,80,80,9,8/29/2024,good
"T26	",735412,Cynthea Burborough,cburborough3h@ustream.tv,80,8,80,80,9,6/13/2024,good
"T27	",420046,Marion Le feuvre,mle3i@over-blog.com,80,8,80,80,9,5/30/2024,good
"T28	",283332,Gillian Moncarr,gmoncarr3j@lycos.com,80,8,80,80,9,6/13/2024,good
"T29	",789088,Eustacia Crippill,ecrippill3k@nih.gov,80,8,80,80,9,11/16/2023,good
"T30	",454381,Lynn Oakhill,loakhill3l@sphinn.com,80,8,80,80,9,11/27/2023,good
"T31	",204175,Pauly Downton,pdownton3m@sitemeter.com,80,8,80,80,9,9/21/2024,good
"T32	",907951,Adlai Barnby,abarnby3n@oakley.com,80,8,80,80,9,6/24/2024,good
"T33	",781108,Mathilde Taudevin,mtaudevin3o@census.gov,80,8,80,80,9,6/24/2024,good
"T34	",593749,Latia Schimaschke,lschimaschke3p@ameblo.jp,80,8,80,80,9,2/22/2024,good
"T35	",507576,Junia Sevior,jsevior3q@amazon.co.uk,80,8,80,80,9,6/24/2024,good
"T36	",104232,Elsinore Poupard,epoupard3r@japanpost.jp,80,8,80,80,9,12/30/2023,good
"T37	",499061,Linnet De Simoni,lde3s@indiatimes.com,80,8,80,80,9,6/24/2024,good
"T38	",281022,Lawry Greenrodd,lgreenrodd3t@vk.com,80,8,80,80,9,9/19/2024,good
"T39	",377688,Stevena Trice,strice3u@wikimedia.org,80,8,80,80,9,6/24/2024,good
"T40	",772591,Abbye Blower,ablower3v@bluehost.com,80,8,80,80,9,8/29/2024,good
"T41	",555655,Devlin Bovey,dbovey3w@digg.com,80,8,80,80,9,6/13/2024,good
"T42	",287269,Bryana Venmore,bvenmore3x@bloglines.com,80,8,80,80,9,5/30/2024,good
"T43	",334022,Arturo Cawsby,acawsby3y@reddit.com,80,8,80,80,9,6/13/2024,good
"T44	",980307,Merline Turbefield,mturbefield3z@dyndns.org,80,8,80,80,9,11/16/2023,good
"T45	",816166,Minda Warwicker,mwarwicker40@house.gov,80,8,80,80,9,11/27/2023,good
"T46	",838012,Lucian Wherry,lwherry41@youtu.be,80,8,80,80,9,9/21/2024,good
"T47	",765518,Findley Ormes,formes42@slate.com,80,8,80,80,9,6/24/2024,good
"T48	",953710,Phylys Fendlow,pfendlow43@washingtonpost.com,80,8,80,80,9,6/24/2024,good
"T49	",739837,Ivar Amott,iamott44@economist.com,80,8,80,80,9,2/22/2024,good
"T50	",773554,Dayle Houson,dhouson45@mit.edu,80,8,80,80,9,6/24/2024,good
